Linux 5.15.0-starfive (starfive) 	12/26/23 	_riscv64_	(4 CPU)

02:59:17          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
02:59:18         1.00      0.00      1.00      0.00      0.00    224.00      0.00
02:59:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:21         1.00      0.00      1.00      0.00      0.00    224.00      0.00
02:59:22         7.00      0.00      7.00      0.00      0.00     56.00      0.00
02:59:23         2.00      0.00      2.00      0.00      0.00    192.00      0.00
02:59:24         1.00      0.00      1.00      0.00      0.00     40.00      0.00
02:59:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:26         4.00      0.00      4.00      0.00      0.00     32.00      0.00
02:59:27         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:28        20.00      0.00     20.00      0.00      0.00    232.00      0.00
02:59:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:31         1.00      0.00      1.00      0.00      0.00     56.00      0.00
02:59:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:33         2.00      0.00      2.00      0.00      0.00     56.00      0.00
02:59:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:38         5.00      0.00      5.00      0.00      0.00     64.00      0.00
02:59:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:40         1.00      0.00      1.00      0.00      0.00     40.00      0.00
02:59:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:42         1.00      0.00      1.00      0.00      0.00     64.00      0.00
02:59:43         2.00      0.00      2.00      0.00      0.00     80.00      0.00
02:59:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:59:46         1.00      0.00      1.00      0.00      0.00     48.00      0.00
02:59:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         1.63      0.00      1.63      0.00      0.00     46.93      0.00
