Linux 4.15.0-213-generic (master) 	12/26/2023 	_x86_64_	(4 CPU)

03:09:23 AM       tps      rtps      wtps   bread/s   bwrtn/s
03:09:24 AM      3.00      0.00      3.00      0.00    264.00
03:09:25 AM      0.00      0.00      0.00      0.00      0.00
03:09:26 AM      0.00      0.00      0.00      0.00      0.00
03:09:27 AM      0.00      0.00      0.00      0.00      0.00
03:09:28 AM      2.00      1.00      1.00      8.00      8.00
03:09:29 AM     12.00      0.00     12.00      0.00    656.00
03:09:30 AM      0.00      0.00      0.00      0.00      0.00
03:09:31 AM      0.00      0.00      0.00      0.00      0.00
03:09:32 AM      0.00      0.00      0.00      0.00      0.00
03:09:33 AM      0.00      0.00      0.00      0.00      0.00
03:09:34 AM      4.00      0.00      4.00      0.00     88.00
03:09:35 AM      0.00      0.00      0.00      0.00      0.00
03:09:36 AM      0.00      0.00      0.00      0.00      0.00
03:09:37 AM      0.00      0.00      0.00      0.00      0.00
03:09:38 AM      1.00      0.00      1.00      0.00      8.00
03:09:39 AM      2.00      0.00      2.00      0.00     64.00
03:09:40 AM      0.00      0.00      0.00      0.00      0.00
03:09:41 AM      0.00      0.00      0.00      0.00      0.00
03:09:42 AM      0.00      0.00      0.00      0.00      0.00
03:09:43 AM      0.00      0.00      0.00      0.00      0.00
03:09:44 AM     46.00      0.00     46.00      0.00    672.00
03:09:45 AM      0.00      0.00      0.00      0.00      0.00
03:09:46 AM      0.00      0.00      0.00      0.00      0.00
03:09:47 AM      0.00      0.00      0.00      0.00      0.00
03:09:48 AM      0.00      0.00      0.00      0.00      0.00
03:09:49 AM      2.00      0.00      2.00      0.00     56.00
03:09:50 AM      0.00      0.00      0.00      0.00      0.00
03:09:51 AM      0.00      0.00      0.00      0.00      0.00
03:09:52 AM      0.00      0.00      0.00      0.00      0.00
03:09:53 AM      0.00      0.00      0.00      0.00      0.00
Average:         2.40      0.03      2.37      0.27     60.49
