Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

02:28:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:28:22 PM     all      0.25      0.00      1.78      0.00      0.00     97.97
02:28:23 PM     all      0.25      0.00      1.77      0.00      0.00     97.98
02:28:24 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:28:25 PM     all      5.65      0.00     11.83      0.27      0.00     82.26
02:28:26 PM     all      0.51      0.00      1.28      0.00      0.00     98.21
02:28:27 PM     all      0.00      0.00      0.51      0.00      0.00     99.49
02:28:28 PM     all      0.25      0.00      1.53      0.00      0.00     98.22
02:28:29 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
02:28:30 PM     all      0.25      0.00      1.26      0.00      0.00     98.49
02:28:31 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:28:32 PM     all      0.25      0.00      1.52      0.00      0.00     98.23
02:28:33 PM     all      0.00      0.00      1.25      0.00      0.00     98.75
02:28:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:35 PM     all      0.25      0.00      0.75      0.00      0.00     98.99
02:28:36 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
02:28:37 PM     all      0.25      0.00      0.25      0.00      0.00     99.49
02:28:38 PM     all      0.00      0.00      0.51      0.00      0.00     99.49
02:28:39 PM     all      0.00      0.00      0.75      0.00      0.00     99.25
02:28:40 PM     all      2.31      0.00      3.08      0.00      0.00     94.60
02:28:41 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
02:28:42 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
02:28:43 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
02:28:44 PM     all      0.25      0.00      0.75      0.00      0.00     99.00
02:28:45 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
02:28:46 PM     all      0.00      0.00      1.26      0.00      0.00     98.74
02:28:47 PM     all      0.00      0.00      0.75      0.00      0.00     99.25
02:28:48 PM     all      1.55      0.00      2.06      0.00      0.00     96.39
02:28:49 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
02:28:50 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
02:28:51 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
Average:        all      0.40      0.00      1.37      0.01      0.00     98.23
