Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

15:10:29     active/s passive/s    iseg/s    oseg/s
15:10:56         0.00      0.00      6.00      6.00
15:10:57         0.00      0.00      6.00      6.00
15:10:58         0.00      0.00     35.00     36.00
15:10:59         0.00      0.00      6.00      6.00
15:11:00         0.00      0.00      7.00      7.00
15:11:01         0.00      0.00      7.00      7.00
15:11:02         0.00      0.00      6.00      6.00
15:11:03         0.00      0.00      7.00      7.00
15:11:04         0.00      0.00      7.00      7.00
15:11:05         0.00      0.00      7.00      7.00
