Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

11:40:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:40:43        all      7.07      0.00      2.78      0.00      0.00     90.15
11:40:44        all      2.02      0.00      0.25      0.00      0.00     97.73
11:40:45        all      2.01      0.00      0.25      0.25      0.00     97.49
11:40:46        all     18.34      0.00      2.76      0.00      0.00     78.89
11:40:47        all     31.66      0.00      3.77      0.00      0.00     64.57
11:40:48        all     99.75      0.00      0.25      0.00      0.00      0.00
11:40:49        all     99.25      0.00      0.75      0.00      0.00      0.00
11:40:50        all    100.00      0.00      0.00      0.00      0.00      0.00
11:40:51        all     99.00      0.00      1.00      0.00      0.00      0.00
11:40:52        all    100.00      0.00      0.00      0.00      0.00      0.00
11:40:53        all     99.50      0.00      0.50      0.00      0.00      0.00
11:40:54        all     99.50      0.00      0.50      0.00      0.00      0.00
11:40:55        all    100.00      0.00      0.00      0.00      0.00      0.00
11:40:56        all     98.75      0.00      1.00      0.00      0.00      0.25
11:40:57        all     99.75      0.00      0.25      0.00      0.00      0.00
11:40:58        all     99.75      0.00      0.25      0.00      0.00      0.00
11:40:59        all     99.00      0.00      1.00      0.00      0.00      0.00
11:41:00        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:01        all     96.99      0.00      0.25      0.00      0.00      2.76
11:41:02        all     99.25      0.00      0.75      0.00      0.00      0.00
11:41:03        all     98.25      0.00      1.75      0.00      0.00      0.00
11:41:04        all     99.00      0.00      1.00      0.00      0.00      0.00
11:41:05        all     98.25      0.00      0.50      0.00      0.00      1.25
11:41:06        all     96.75      0.00      1.50      0.00      0.00      1.75
11:41:07        all     97.74      0.00      1.25      0.00      0.00      1.00
11:41:08        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:09        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:10        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:11        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:12        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:13        all     99.25      0.00      0.75      0.00      0.00      0.00
11:41:14        all    100.00      0.00      0.00      0.00      0.00      0.00
11:41:15        all    100.00      0.00      0.00      0.00      0.00      0.00
11:41:16        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:17        all    100.00      0.00      0.00      0.00      0.00      0.00
11:41:18        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:19        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:20        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:21        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:22        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:23        all     99.25      0.00      0.75      0.00      0.00      0.00
11:41:24        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:25        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:26        all     99.25      0.00      0.75      0.00      0.00      0.00
11:41:27        all     99.00      0.00      0.50      0.00      0.00      0.50
11:41:28        all    100.00      0.00      0.00      0.00      0.00      0.00
11:41:29        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:30        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:31        all     97.50      0.00      0.50      0.00      0.00      2.00
11:41:32        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:33        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:34        all    100.00      0.00      0.00      0.00      0.00      0.00
11:41:35        all     99.00      0.00      1.00      0.00      0.00      0.00
11:41:36        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:37        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:38        all     98.75      0.00      1.25      0.00      0.00      0.00
11:41:39        all     99.00      0.00      1.00      0.00      0.00      0.00
11:41:40        all    100.00      0.00      0.00      0.00      0.00      0.00
11:41:41        all     97.50      0.00      1.00      0.00      0.00      1.50
11:41:42        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:43        all     99.75      0.00      0.25      0.00      0.00      0.00
11:41:44        all     99.50      0.00      0.50      0.00      0.00      0.00
11:41:45        all     98.50      0.00      0.50      0.00      0.00      1.00
11:41:46        all     38.50      0.00      1.00      0.00      0.00     60.50
11:41:47        all      0.00      0.00      0.25      0.00      0.00     99.75
11:41:48        all      0.25      0.00      0.25      0.00      0.00     99.50
11:41:49        all      1.52      0.00      0.00      0.00      0.00     98.48
11:41:50        all      1.75      0.00      0.25      0.00      0.00     97.99
11:41:51        all      1.75      0.00      0.50      2.50      0.00     95.25
11:41:52        all      0.75      0.00      0.50      0.00      0.00     98.76
11:41:53        all      0.00      0.00      0.25      0.00      0.00     99.75
11:41:54        all      1.26      0.00      0.25      0.00      0.00     98.49
11:41:55        all      1.50      0.00      0.50      0.00      0.00     98.00
11:41:56        all      1.51      0.00      0.50      0.00      0.00     97.99
11:41:57        all      0.00      0.00      0.75      0.00      0.00     99.25
11:41:58        all      0.25      0.00      0.00      0.00      0.00     99.75
11:41:59        all      1.01      0.00      0.00      0.00      0.00     98.99
11:42:00        all      1.50      0.00      0.50      0.00      0.00     98.00
11:42:01        all      4.77      0.00      0.75      0.25      0.00     94.22
11:42:02        all      0.50      0.00      0.25      0.00      0.00     99.25
