Linux 5.15.0-starfive (starfive) 	12/20/23 	_riscv64_	(4 CPU)

04:53:05          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
04:53:06         3.00      0.00      3.00      0.00      0.00    184.00      0.00
04:53:07         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:11         2.00      0.00      2.00      0.00      0.00     56.00      0.00
04:53:12        41.00      0.00     41.00      0.00      0.00    344.00      0.00
04:53:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:14         1.00      0.00      1.00      0.00      0.00     32.00      0.00
04:53:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:16         2.00      0.00      2.00      0.00      0.00     96.00      0.00
04:53:17         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:20         3.00      0.00      3.00      0.00      0.00     24.00      0.00
04:53:21         3.00      0.00      3.00      0.00      0.00     80.00      0.00
04:53:22         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:27        24.00      0.00     24.00      0.00      0.00    232.00      0.00
04:53:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:30         1.00      0.00      1.00      0.00      0.00     32.00      0.00
04:53:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:32         2.00      0.00      2.00      0.00      0.00     56.00      0.00
04:53:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:36         3.00      0.00      3.00      0.00      0.00     48.00      0.00
04:53:37         2.00      0.00      2.00      0.00      0.00    104.00      0.00
04:53:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:53:41         4.00      0.00      4.00      0.00      0.00     32.00      0.00


Average:         2.53      0.00      2.53      0.00      0.00     36.67      0.00
