Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:54:14 AM       tps      rtps      wtps   bread/s   bwrtn/s
08:54:15 AM      2.00      0.00      2.00      0.00    120.00
08:54:16 AM      0.00      0.00      0.00      0.00      0.00
08:54:17 AM      0.00      0.00      0.00      0.00      0.00
08:54:18 AM      0.00      0.00      0.00      0.00      0.00
08:54:19 AM      2.00      0.00      2.00      0.00     16.00
08:54:20 AM      2.00      0.00      2.00      0.00    104.00
08:54:21 AM     20.00      0.00     20.00      0.00    280.00
08:54:22 AM      0.00      0.00      0.00      0.00      0.00
08:54:23 AM      1.00      0.00      1.00      0.00      8.00
08:54:24 AM      0.00      0.00      0.00      0.00      0.00
08:54:25 AM      2.00      0.00      2.00      0.00     96.00
08:54:26 AM      4.00      0.00      4.00      0.00     32.00
08:54:27 AM      0.00      0.00      0.00      0.00      0.00
08:54:28 AM      0.00      0.00      0.00      0.00      0.00
08:54:29 AM      0.00      0.00      0.00      0.00      0.00
08:54:30 AM      2.00      0.00      2.00      0.00     72.00
08:54:31 AM      0.00      0.00      0.00      0.00      0.00
08:54:32 AM      0.00      0.00      0.00      0.00      0.00
08:54:33 AM      0.00      0.00      0.00      0.00      0.00
08:54:34 AM      0.00      0.00      0.00      0.00      0.00
Average:         1.75      0.00      1.75      0.00     36.36
