Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

02:37:39 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:37:40 AM     all      0.25      0.00      1.52      0.00      0.00     98.23
02:37:41 AM     all     14.71      0.00      7.81      0.00      0.00     77.48
02:37:42 AM     all      8.68      0.00      5.88      0.00      0.00     85.43
02:37:43 AM     all      0.25      0.00      2.02      0.00      0.00     97.73
02:37:44 AM     all      0.25      0.00      1.52      0.00      0.00     98.23
02:37:45 AM     all      0.25      0.00      1.51      0.00      0.00     98.24
02:37:46 AM     all      0.00      0.00      1.26      0.00      0.00     98.74
02:37:47 AM     all      1.02      0.00      2.30      0.00      0.00     96.68
02:37:48 AM     all     22.49      0.00      9.69      0.00      0.00     67.82
02:37:49 AM     all      0.25      0.00      2.26      0.00      0.00     97.49
02:37:50 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:37:51 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
02:37:52 AM     all      0.00      0.00      1.00      0.00      0.00     99.00


Average:        all      3.12      0.00      2.71      0.00      0.00     94.17
