Linux 5.15.0-starfive (starfive) 	12/26/23 	_riscv64_	(4 CPU)

02:59:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:59:18        all      6.28      0.00      2.76      0.00      0.00     90.95
02:59:19        all      3.02      0.00      0.50      0.00      0.00     96.48
02:59:20        all     19.19      0.00      1.26      0.00      0.00     79.55
02:59:21        all     23.68      0.00      2.27      0.00      0.00     74.06
02:59:22        all      0.25      0.00      0.00      0.00      0.00     99.75
02:59:23        all      1.02      0.00      0.51      0.51      0.00     97.97
02:59:24        all      2.76      0.00      0.25      0.00      0.00     96.98
02:59:25        all      0.00      0.00      0.00      0.00      0.00    100.00
02:59:26        all      1.50      0.00      1.00      0.00      0.00     97.51
02:59:27        all      0.00      0.00      0.00      0.00      0.00    100.00
02:59:28        all      0.00      0.00      0.00      1.01      0.00     98.99
02:59:29        all      3.02      0.00      0.00      0.00      0.00     96.98
02:59:30        all      0.25      0.00      0.00      0.00      0.00     99.75
02:59:31        all      1.76      0.00      0.50      0.00      0.00     97.73
02:59:32        all      0.00      0.00      0.00      0.00      0.00    100.00
02:59:33        all      0.25      0.00      0.00      0.25      0.00     99.50
02:59:34        all      2.77      0.00      0.25      0.00      0.00     96.98
02:59:35        all      1.00      0.00      0.25      0.00      0.00     98.75
02:59:36        all      1.50      0.00      0.50      0.00      0.00     97.99
02:59:37        all      0.00      0.00      0.00      0.00      0.00    100.00
02:59:38        all      1.24      0.00      0.00      0.25      0.00     98.51
02:59:39        all      4.50      0.00      0.75      0.00      0.00     94.75
02:59:40        all      0.00      0.00      0.50      0.00      0.00     99.50
02:59:41        all      2.24      0.00      2.49      0.00      0.00     95.26
02:59:42        all      0.25      0.00      0.00      0.00      0.00     99.75
02:59:43        all      1.76      0.00      0.75      0.25      0.00     97.24
02:59:44        all      2.78      0.00      0.00      0.00      0.00     97.22
02:59:45        all      0.00      0.00      0.00      0.00      0.00    100.00
02:59:46        all      2.26      0.00      0.00      0.00      0.00     97.74
02:59:47        all      0.25      0.00      0.50      0.00      0.00     99.25
Average:        all      2.78      0.00      0.50      0.08      0.00     96.65
