Linux 4.15.0-213-generic (master) 	12/26/2023 	_x86_64_	(4 CPU)

03:09:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:09:24 AM     all      0.26      0.00      4.40      0.00      0.00     95.34
03:09:25 AM     all      0.25      0.00      2.27      0.00      0.00     97.47
03:09:26 AM     all      0.25      0.00      0.50      0.00      0.00     99.24
03:09:27 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
03:09:28 AM     all      4.26      0.00     11.70      0.27      0.00     83.78
03:09:29 AM     all      0.00      0.00      2.53      0.00      0.00     97.47
03:09:30 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
03:09:31 AM     all      0.51      0.00      0.76      0.00      0.00     98.74
03:09:32 AM     all      0.25      0.00      1.27      0.00      0.00     98.48
03:09:33 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
03:09:34 AM     all      0.75      0.00      2.50      0.25      0.00     96.50
03:09:35 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
03:09:36 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
03:09:37 AM     all      0.25      0.00      0.25      0.00      0.00     99.50
03:09:38 AM     all      0.00      0.00      1.77      0.00      0.00     98.23
03:09:39 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
03:09:40 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
03:09:41 AM     all      1.01      0.00      2.78      0.00      0.00     96.20
03:09:42 AM     all      1.02      0.00      1.53      0.00      0.00     97.45
03:09:43 AM     all      0.25      0.00      2.04      0.00      0.00     97.71
03:09:44 AM     all      0.77      0.00      1.53      0.00      0.00     97.70
03:09:45 AM     all      0.25      0.00      1.01      0.00      0.00     98.74
03:09:46 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
03:09:47 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
03:09:48 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
03:09:49 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
03:09:50 AM     all      0.51      0.00      0.51      0.00      0.00     98.98
03:09:51 AM     all      0.25      0.00      0.51      0.00      0.00     99.24
03:09:52 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
03:09:53 AM     all      0.25      0.00      0.76      0.00      0.00     98.99
Average:        all      0.37      0.00      1.48      0.02      0.00     98.13
