Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

14:07:24          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
14:07:25         6.93      0.00      6.93      0.00      0.00    269.31      0.00
14:07:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:27         7.00      0.00      7.00      0.00      0.00  12552.00      0.00
14:07:28         9.00      0.00      9.00      0.00      0.00  18168.00      0.00
14:07:29         1.00      0.00      1.00      0.00      0.00   2048.00      0.00
14:07:30         3.00      0.00      3.00      0.00      0.00   6144.00      0.00
14:07:31         5.00      0.00      5.00      0.00      0.00   8320.00      0.00
14:07:32         7.00      0.00      7.00      0.00      0.00  14336.00      0.00
14:07:33         7.00      0.00      7.00      0.00      0.00  11776.00      0.00
14:07:34         4.00      0.00      4.00      0.00      0.00   6160.00      0.00
14:07:35        12.00      0.00     12.00      0.00      0.00   1408.00      0.00
14:07:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:40         5.00      0.00      5.00      0.00      0.00    992.00      0.00
14:07:41         2.00      0.00      2.00      0.00      0.00    448.00      0.00
14:07:42         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:45         4.00      0.00      4.00      0.00      0.00    216.00      0.00
14:07:46         1.00      0.00      1.00      0.00      0.00    224.00      0.00
14:07:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:49         1.00      0.00      1.00      0.00      0.00    224.00      0.00
14:07:50         1.00      0.00      1.00      0.00      0.00     32.00      0.00
14:07:51         2.00      0.00      2.00      0.00      0.00    176.00      0.00
14:07:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:07:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         2.60      0.00      2.60      0.00      0.00   2782.27      0.00
