Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

14:07:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:07:25        all      7.04      0.00      1.76      0.00      0.00     91.21
14:07:26        all      1.50      0.00      0.25      0.00      0.00     98.25
14:07:27        all      2.04      0.00     13.99      7.38      0.00     76.59
14:07:28        all      0.00      0.00      0.25     10.83      0.00     88.92
14:07:29        all      2.78      0.00      0.51     63.89      0.00     32.83
14:07:30        all      0.50      0.00      0.50     99.00      0.00      0.00
14:07:31        all      2.01      0.00      0.25     97.74      0.00      0.00
14:07:32        all      0.25      0.00      0.75     99.00      0.00      0.00
14:07:33        all      0.00      0.00      0.51     99.49      0.00      0.00
14:07:34        all      1.01      0.00      0.25     98.74      0.00      0.00
14:07:35        all      7.81      0.00      1.51     23.93      0.00     66.75
14:07:36        all      1.51      0.00      0.25      0.00      0.00     98.24
14:07:37        all      0.75      0.00      0.25      0.00      0.00     99.00
14:07:38        all      3.48      0.00      0.50      0.00      0.00     96.02
14:07:39        all      3.00      0.00      0.50      0.00      0.00     96.50
14:07:40        all      8.10      0.00      1.01      0.25      0.00     90.63
14:07:41        all     11.56      0.00      1.01      0.00      0.00     87.44
14:07:42        all      0.25      0.00      0.25      0.00      0.00     99.50
14:07:43        all      2.51      0.00      0.75      0.00      0.00     96.73
14:07:44        all      3.50      0.00      0.00      0.00      0.00     96.50
14:07:45        all      2.53      0.00      0.51      0.51      0.00     96.46
14:07:46        all      5.81      0.00      1.01      0.00      0.00     93.18
14:07:47        all      0.00      0.00      0.00      0.00      0.00    100.00
14:07:48        all      0.50      0.00      0.00      0.00      0.00     99.50
14:07:49        all      8.82      0.00      1.51      0.00      0.00     89.67
14:07:50        all      0.00      0.00      0.00      0.00      0.00    100.00
14:07:51        all      2.00      0.00      0.25      0.25      0.00     97.51
14:07:52        all      0.25      0.00      0.50      0.00      0.00     99.24
14:07:53        all      0.00      0.00      0.00      0.00      0.00    100.00
14:07:54        all      2.78      0.00      0.25      0.00      0.00     96.97
Average:        all      2.74      0.00      0.96     20.02      0.00     76.28
