Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

02:28:21 PM       tps      rtps      wtps   bread/s   bwrtn/s
02:28:22 PM      0.00      0.00      0.00      0.00      0.00
02:28:23 PM      0.00      0.00      0.00      0.00      0.00
02:28:24 PM      0.00      0.00      0.00      0.00      0.00
02:28:25 PM     55.00      0.00     55.00      0.00  80184.00
02:28:26 PM      1.00      0.00      1.00      0.00      8.00
02:28:27 PM      0.00      0.00      0.00      0.00      0.00
02:28:28 PM      0.00      0.00      0.00      0.00      0.00
02:28:29 PM      0.00      0.00      0.00      0.00      0.00
02:28:30 PM      2.00      0.00      2.00      0.00    136.00
02:28:31 PM      0.00      0.00      0.00      0.00      0.00
02:28:32 PM      1.00      0.00      1.00      0.00      8.00
02:28:33 PM      0.00      0.00      0.00      0.00      0.00
02:28:34 PM      0.00      0.00      0.00      0.00      0.00
02:28:35 PM      2.00      0.00      2.00      0.00     72.00
02:28:36 PM      0.00      0.00      0.00      0.00      0.00
02:28:37 PM      0.00      0.00      0.00      0.00      0.00
02:28:38 PM      0.00      0.00      0.00      0.00      0.00
02:28:39 PM      0.00      0.00      0.00      0.00      0.00
02:28:40 PM      3.00      0.00      3.00      0.00     56.00
02:28:41 PM      0.00      0.00      0.00      0.00      0.00
02:28:42 PM      0.00      0.00      0.00      0.00      0.00
02:28:43 PM      0.00      0.00      0.00      0.00      0.00
02:28:44 PM      0.00      0.00      0.00      0.00      0.00
02:28:45 PM      2.00      0.00      2.00      0.00     72.00
02:28:46 PM      0.00      0.00      0.00      0.00      0.00
02:28:47 PM      1.00      0.00      1.00      0.00     96.00
02:28:48 PM      0.00      0.00      0.00      0.00      0.00
02:28:49 PM      0.00      0.00      0.00      0.00      0.00
02:28:50 PM      2.00      0.00      2.00      0.00     72.00
02:28:51 PM      0.00      0.00      0.00      0.00      0.00
Average:         2.30      0.00      2.30      0.00   2689.24
