Linux 5.15.0-starfive (starfive) 	12/25/23 	_riscv64_	(4 CPU)

08:55:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:55:57        all      7.50      0.00      2.00      0.00      0.00     90.50
08:55:58        all      1.00      0.00      0.25      0.00      0.00     98.75
08:55:59        all     69.52      0.00      1.51      0.00      0.00     28.97
08:56:00        all     99.75      0.00      0.25      0.00      0.00      0.00
08:56:01        all     98.75      0.00      0.50      0.00      0.00      0.75
08:56:02        all     99.26      0.00      0.74      0.00      0.00      0.00
08:56:03        all     99.00      0.00      1.00      0.00      0.00      0.00
08:56:04        all     99.50      0.00      0.50      0.00      0.00      0.00
08:56:05        all     99.00      0.00      1.00      0.00      0.00      0.00
08:56:06        all     98.25      0.00      1.00      0.00      0.00      0.75
08:56:07        all      4.01      0.00      0.25      0.00      0.00     95.74
08:56:08        all      0.50      0.00      0.00      0.00      0.00     99.50
08:56:09        all      4.01      0.00      1.50      0.00      0.00     94.49
08:56:10        all      0.25      0.00      0.51      0.00      0.00     99.24
08:56:11        all      7.54      0.00      0.75      5.03      0.00     86.68
08:56:12        all      0.00      0.00      0.00      0.00      0.00    100.00
08:56:13        all      0.25      0.00      0.00      0.00      0.00     99.75
08:56:14        all      3.02      0.00      0.50      0.00      0.00     96.47
08:56:15        all      0.00      0.00      0.25      0.00      0.00     99.75
08:56:16        all      9.07      0.00      0.76      0.00      0.00     90.18
Average:        all     40.12      0.00      0.66      0.25      0.00     58.97
