Linux 5.15.0-starfive (starfive) 	12/20/23 	_riscv64_	(4 CPU)

04:54:21          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
04:54:22         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:26         2.00      0.00      2.00      0.00      0.00    160.00      0.00
04:54:27         1.00      0.00      1.00      0.00      0.00      8.00      0.00
04:54:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:29         1.00      0.00      1.00      0.00      0.00     24.00      0.00
04:54:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:31         2.00      0.00      2.00      0.00      0.00     56.00      0.00
04:54:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:35        16.00      0.00     16.00      0.00      0.00    144.00      0.00
04:54:36         3.00      0.00      3.00      0.00      0.00     72.00      0.00
04:54:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:54:41         2.00      0.00      2.00      0.00      0.00     80.00      0.00
04:54:42         3.00      0.00      3.00      0.00      0.00     24.00      0.00
04:54:43         1.00      0.00      1.00      0.00      0.00      8.00      0.00
04:54:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00


Average:         1.35      0.00      1.35      0.00      0.00     25.04      0.00
