Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:49:52 AM       tps      rtps      wtps   bread/s   bwrtn/s
08:49:53 AM      1.00      0.00      1.00      0.00      8.00
08:49:54 AM      0.00      0.00      0.00      0.00      0.00
08:49:55 AM      4.00      0.00      4.00      0.00    144.00
08:49:56 AM      0.00      0.00      0.00      0.00      0.00
08:49:57 AM      0.00      0.00      0.00      0.00      0.00
08:49:58 AM      0.00      0.00      0.00      0.00      0.00
08:49:59 AM      0.00      0.00      0.00      0.00      0.00
08:50:00 AM      2.00      0.00      2.00      0.00     96.00
08:50:01 AM      0.00      0.00      0.00      0.00      0.00
08:50:02 AM      0.00      0.00      0.00      0.00      0.00
08:50:03 AM      0.00      0.00      0.00      0.00      0.00
08:50:04 AM      0.00      0.00      0.00      0.00      0.00
08:50:05 AM      1.98      0.00      1.98      0.00     39.60
08:50:06 AM      0.00      0.00      0.00      0.00      0.00
08:50:07 AM      0.00      0.00      0.00      0.00      0.00
08:50:08 AM      0.00      0.00      0.00      0.00      0.00
08:50:09 AM      0.00      0.00      0.00      0.00      0.00
08:50:10 AM      0.00      0.00      0.00      0.00      0.00
08:50:11 AM      2.00      0.00      2.00      0.00     40.00
08:50:12 AM      0.00      0.00      0.00      0.00      0.00
Average:         0.55      0.00      0.55      0.00     16.39
