Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:49:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:49:53 AM     all      0.25      0.00      1.77      0.00      0.00     97.98
08:49:54 AM     all      0.00      0.00      1.52      0.00      0.00     98.48
08:49:55 AM     all      5.75      0.00      6.03      0.00      0.00     88.22
08:49:56 AM     all      0.25      0.00      1.27      0.00      0.00     98.48
08:49:57 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:49:58 AM     all      0.25      0.00      2.01      0.00      0.00     97.74
08:49:59 AM     all      2.56      0.00      1.28      0.00      0.00     96.15
08:50:00 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:50:01 AM     all     31.45      0.00      6.71      0.00      0.00     61.84
08:50:02 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:50:03 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:50:04 AM     all      0.00      0.00      1.51      0.00      0.00     98.49
08:50:05 AM     all      0.00      0.00      1.25      0.25      0.00     98.50
08:50:06 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:50:07 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:50:08 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:50:09 AM     all      0.25      0.00      0.50      0.00      0.00     99.25
08:50:10 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:50:11 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:50:12 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
Average:        all      1.59      0.00      1.40      0.01      0.00     96.99
