function_name,latency,arch
compose-post,200.0,X86
compose-post,29.325485229492188,X86
compose-post,33.14018249511719,X86
compose-post,29.56390380859375,X86
compose-post,39.81590270996094,X86
compose-post,31.709671020507812,X86
compose-post,36.2396240234375,X86
compose-post,30.994415283203125,X86
compose-post,26.226043701171875,X86
compose-post,30.994415283203125,X86
compose-post,30.040740966796875,X86
compose-post,59.36622619628906,X86
compose-post,28.133392333984375,X86
compose-post,32.18650817871094,X86
compose-post,30.279159545898438,X86
compose-post,34.332275390625,X86
compose-post,30.040740966796875,X86
compose-post,34.332275390625,X86
compose-post,28.371810913085938,X86
compose-post,32.18650817871094,X86
compose-post,29.087066650390625,X86
compose-post,34.09385681152344,X86
compose-post,29.802322387695312,X86
compose-post,29.087066650390625,X86
compose-post,29.325485229492188,X86
compose-post,29.325485229492188,X86
compose-post,32.901763916015625,X86
compose-post,29.56390380859375,X86
compose-post,32.4249267578125,X86
compose-post,37.19329833984375,X86
compose-post,29.325485229492188,X86
compose-post,31.232833862304688,X86
compose-post,31.232833862304688,X86
compose-post,62.465667724609375,X86
compose-post,32.4249267578125,X86
compose-post,31.948089599609375,X86
compose-post,30.040740966796875,X86
compose-post,31.47125244140625,X86
compose-post,28.848648071289062,X86
compose-post,44.58427429199219,X86
compose-post,29.325485229492188,X86
compose-post,31.47125244140625,X86
compose-post,29.802322387695312,X86
compose-post,30.279159545898438,X86
compose-post,41.00799560546875,X86
compose-post,30.755996704101562,X86
compose-post,31.709671020507812,X86
compose-post,30.040740966796875,X86
compose-post,34.809112548828125,X86
compose-post,30.040740966796875,X86
compose-post,32.66334533691406,X86
compose-post,30.040740966796875,X86
compose-post,30.517578125,X86
compose-post,30.279159545898438,X86
compose-post,29.325485229492188,X86
compose-post,36.00120544433594,X86
compose-post,27.894973754882812,X86
compose-post,30.040740966796875,X86
compose-post,29.087066650390625,X86
compose-post,30.040740966796875,X86
compose-post,28.133392333984375,X86
compose-post,29.56390380859375,X86
compose-post,30.755996704101562,X86
compose-post,29.325485229492188,X86
compose-post,48.160552978515625,X86
compose-post,30.517578125,X86
compose-post,28.371810913085938,X86
compose-post,76.05552673339844,X86
compose-post,30.040740966796875,X86
compose-post,29.087066650390625,X86
compose-post,26.464462280273438,X86
compose-post,28.371810913085938,X86
compose-post,29.087066650390625,X86
compose-post,62.465667724609375,X86
compose-post,40.76957702636719,X86
compose-post,67.23403930664062,X86
compose-post,35.762786865234375,X86
compose-post,30.279159545898438,X86
compose-post,68.90296936035156,X86
compose-post,30.040740966796875,X86
compose-post,29.087066650390625,X86
compose-post,28.371810913085938,X86
compose-post,29.325485229492188,X86
compose-post,40.29273986816406,X86
compose-post,31.232833862304688,X86
compose-post,40.0543212890625,X86
compose-post,30.517578125,X86
compose-post,30.517578125,X86
compose-post,28.371810913085938,X86
compose-post,29.56390380859375,X86
compose-post,115.15617370605469,X86
compose-post,31.709671020507812,X86
compose-post,28.6102294921875,X86
compose-post,26.464462280273438,X86
compose-post,28.6102294921875,X86
compose-post,25.987625122070312,X86
compose-post,36.95487976074219,X86
compose-post,30.994415283203125,X86
compose-post,30.994415283203125,X86
compose-post,28.371810913085938,X86
compose-post,25.74920654296875,X86
compose-post,29.56390380859375,X86
compose-post,29.56390380859375,X86
compose-post,30.040740966796875,X86
compose-post,29.56390380859375,X86
compose-post,27.179718017578125,X86
compose-post,29.56390380859375,X86
compose-post,30.279159545898438,X86
compose-post,29.56390380859375,X86
compose-post,28.133392333984375,X86
compose-post,25.74920654296875,X86
compose-post,27.418136596679688,X86
compose-post,29.802322387695312,X86
compose-post,27.418136596679688,X86
compose-post,27.179718017578125,X86
compose-post,31.232833862304688,X86
compose-post,34.332275390625,X86
compose-post,29.325485229492188,X86
compose-post,29.802322387695312,X86
compose-post,29.802322387695312,X86
compose-post,26.464462280273438,X86
compose-post,39.577484130859375,X86
compose-post,30.994415283203125,X86
compose-post,27.894973754882812,X86
compose-post,28.848648071289062,X86
compose-post,25.987625122070312,X86
compose-post,28.6102294921875,X86
compose-post,28.133392333984375,X86
compose-post,28.6102294921875,X86
compose-post,30.994415283203125,X86
compose-post,28.848648071289062,X86
compose-post,29.325485229492188,X86
compose-post,29.56390380859375,X86
compose-post,29.325485229492188,X86
compose-post,27.179718017578125,X86
compose-post,39.81590270996094,X86
compose-post,28.6102294921875,X86
compose-post,26.464462280273438,X86
