function_name,latency,arch
alu,333000,X86
alu,242000,X86
alu,373000,X86
alu,325000,X86
alu,259000,X86
alu,292000,X86
alu,331000,X86
alu,305000,X86
alu,245000,X86
alu,240000,X86
alu,936000,X86
alu,289000,X86
alu,374000,X86
alu,363000,X86
alu,218000,X86
alu,236000,X86
alu,236000,X86
alu,249000,X86
alu,387000,X86
alu,248000,X86
alu,262000,X86
alu,294000,X86
alu,285000,X86
alu,255000,X86
alu,249000,X86
alu,243000,X86
alu,246000,X86
alu,249000,X86
alu,307000,X86
alu,251000,X86
alu,282000,X86
alu,261000,X86
alu,280000,X86
alu,251000,X86
alu,256000,X86
alu,268000,X86
alu,314000,X86
alu,293000,X86
alu,270000,X86
alu,246000,X86
alu,319000,X86
alu,269000,X86
alu,245000,X86
alu,235000,X86
alu,240000,X86
alu,243000,X86
alu,312000,X86
alu,243000,X86
alu,250000,X86
alu,280000,X86
alu,300000,X86
alu,267000,X86
alu,252000,X86
alu,245000,X86
alu,271000,X86
alu,334000,X86
alu,287000,X86
alu,254000,X86
alu,321000,X86
alu,282000,X86
alu,266000,X86
alu,248000,X86
alu,285000,X86
alu,245000,X86
alu,316000,X86
alu,235000,X86
alu,261000,X86
alu,307000,X86
alu,276000,X86
alu,240000,X86
alu,248000,X86
alu,363000,X86
alu,323000,X86
alu,284000,X86
alu,285000,X86
alu,247000,X86
alu,313000,X86
alu,270000,X86
alu,253000,X86
alu,253000,X86
alu,251000,X86
alu,251000,X86
alu,298000,X86
alu,262000,X86
alu,258000,X86
alu,258000,X86
alu,401000,X86
alu,244000,X86
alu,253000,X86
alu,256000,X86
alu,330000,X86
alu,278000,X86
alu,301000,X86
alu,248000,X86
alu,354000,X86
alu,247000,X86
alu,251000,X86
alu,244000,X86
alu,275000,X86
alu,267000,X86
alu,902000,RISCV
alu,787000,RISCV
alu,778000,RISCV
alu,1879000,RISCV
alu,1192000,RISCV
alu,766000,RISCV
alu,780000,RISCV
alu,854000,RISCV
alu,1479000,RISCV
alu,992000,RISCV
alu,722000,RISCV
alu,1108000,RISCV
alu,795000,RISCV
alu,714000,RISCV
alu,716000,RISCV
alu,760000,RISCV
alu,694000,RISCV
alu,1436000,RISCV
alu,1358000,RISCV
alu,741000,RISCV
alu,763000,RISCV
alu,730000,RISCV
alu,733000,RISCV
alu,822000,RISCV
alu,1704000,RISCV
alu,974000,RISCV
alu,749000,RISCV
alu,749000,RISCV
alu,699000,RISCV
alu,1157000,RISCV
alu,1683000,RISCV
alu,750000,RISCV
alu,746000,RISCV
alu,701000,RISCV
alu,1176000,RISCV
alu,1315000,RISCV
alu,736000,RISCV
alu,1271000,RISCV
alu,708000,RISCV
alu,852000,RISCV
alu,1502000,RISCV
alu,808000,RISCV
alu,940000,RISCV
alu,1116000,RISCV
alu,834000,RISCV
alu,1189000,RISCV
alu,718000,RISCV
alu,775000,RISCV
alu,1114000,RISCV
alu,1356000,RISCV
alu,864000,RISCV
alu,1347000,RISCV
alu,784000,RISCV
alu,807000,RISCV
alu,1572000,RISCV
alu,757000,RISCV
alu,1021000,RISCV
alu,1129000,RISCV
alu,764000,RISCV
alu,1602000,RISCV
alu,884000,RISCV
alu,900000,RISCV
alu,720000,RISCV
alu,1359000,RISCV
alu,1199000,RISCV
alu,799000,RISCV
alu,893000,RISCV
alu,690000,RISCV
alu,1100000,RISCV
alu,938000,RISCV
alu,738000,RISCV
alu,1652000,RISCV
alu,735000,RISCV
alu,952000,RISCV
alu,1313000,RISCV
alu,923000,RISCV
alu,891000,RISCV
alu,835000,RISCV
alu,1168000,RISCV
alu,1396000,RISCV
alu,975000,RISCV
alu,863000,RISCV
alu,961000,RISCV
alu,1103000,RISCV
alu,880000,RISCV
alu,1433000,RISCV
alu,893000,RISCV
alu,938000,RISCV
alu,886000,RISCV
alu,1132000,RISCV
alu,1142000,RISCV
alu,789000,RISCV
alu,854000,RISCV
alu,952000,RISCV
alu,1249000,RISCV
alu,864000,RISCV
alu,703000,RISCV
alu,1479000,RISCV
alu,809000,RISCV
alu,1243000,RISCV
